Date;Open;High;Low;Close
2021-08-18;2300.19;2301.58;2275.03;2284.97
2021-08-19;2270.18;2270.95;2240.78;2260.02
2021-08-20;2263.51;2263.51;2247.35;2255.56
2021-08-23;2264.45;2290.92;2264.45;2287.52
2021-08-24;2293.79;2300.9;2282.35;2300.9
2021-08-25;2297.64;2325.19;2291.03;2325.19
2021-08-26;2321.75;2326.62;2307.66;2309.44
2021-08-27;2310.63;2323.77;2295.89;2323.77
2021-08-30;2324.67;2350.93;2324.67;2350.23
2021-08-31;2347.73;2379.63;2347.73;2368.03
2021-09-01;2367.66;2387.46;2367.66;2371.16
2021-09-02;2375.04;2391.94;2363.26;2391.94
2021-09-03;2392.26;2393.71;2370.71;2380.82
2021-09-06;2379.29;2416.38;2379.29;2416.38
2021-09-07;2409.03;2409.1;2388.22;2394.79
2021-09-08;2390.92;2390.92;2361.41;2364.63
2021-09-09;2356.6;2361.31;2341.53;2356.39
2021-09-10;2357.98;2377.01;2357.98;2360.7
2021-09-13;2365.69;2387.74;2362.83;2387.74
2021-09-14;2367.42;2381.69;2356.63;2376.01
2021-09-15;2365.73;2368.41;2348.33;2355.23
2021-09-16;2351.2;2367.65;2347.03;2357.28
2021-09-17;2356.48;2359.97;2326.12;2333.01
2021-09-20;2316.96;2316.96;2259.28;2272.52
2021-09-21;2271.99;2302.02;2271.94;2278.11
2021-09-22;2295.39;2335.18;2295.39;2334.1
2021-09-23;2345.99;2353.45;2315.2;2320.51
2021-09-24;2323.41;2326.78;2295.88;2299.18
2021-09-27;2308.17;2314.8;2285.15;2292.47
2021-09-28;2289.15;2298.68;2270.88;2275.68
2021-09-29;2277.48;2299.84;2271.6;2290.97
2021-09-30;2299.33;2314.35;2294.48;2310.29
2021-10-01;2299.01;2332.78;2284.34;2327.88
2021-10-04;2325.08;2360.69;2306.16;2338.09
2021-10-05;2338.92;2365.14;2320.67;2364.72
2021-10-06;2365.2;2365.2;2329.59;2349.46
2021-10-07;2353.18;2365.41;2334.37;2359.54
2021-10-08;2360.56;2415.15;2360.56;2411.12
2021-10-11;2413.12;2457.36;2409.01;2457.36
2021-10-12;2449.09;2478.55;2429.66;2472.33
2021-10-13;2471.12;2473.93;2439.48;2451.89
2021-10-14;2455.6;2473.32;2447.11;2459.5
2021-10-15;2459.71;2461.17;2438.38;2453.98
2021-10-18;2458.45;2474.44;2452.44;2459.81
2021-10-19;2461.73;2472.34;2438.14;2447.54
2021-10-20;2447.07;2453.57;2432.33;2443.11
2021-10-21;2433.75;2433.75;2418.23;2427.35
2021-10-22;2425.02;2436.87;2412.57;2417.09
2021-10-25;2415.52;2430.62;2415.52;2427.19
2021-10-26;2429.41;2442.53;2417.03;2425.29
2021-10-27;2423.22;2423.22;2389.35;2404.82
2021-10-28;2405.47;2411.6;2391.93;2392.67
2021-10-29;2390.05;2421.65;2377.84;2405.05
2021-11-02;2411.73;2421.09;2388.14;2407.53
2021-11-03;2411.54;2428.52;2370.99;2380.11
2021-11-04;2386.85;2441.93;2386.85;2438.8
2021-11-05;2439.09;2443.77;2419.57;2439.16
2021-11-08;2444.16;2449.64;2417.29;2423.92
2021-11-09;2420.42;2423.89;2393.2;2395.05
2021-11-10;2393.48;2407.83;2355.75;2366.59
2021-11-12;2372.28;2390.77;2358.23;2358.23
2021-11-15;2358.49;2384.74;2335.04;2335.04
2021-11-16;2336.33;2350.13;2333.66;2340.03
2021-11-17;2346.41;2354.67;2312.13;2317.49
2021-11-18;2316.9;2316.9;2258.9;2271.31
2021-11-19;2271.91;2286.37;2221.68;2248.18
2021-11-22;2251.08;2262.74;2237.64;2247.82
2021-11-23;2245.04;2268.99;2223.71;2261.15
2021-11-24;2268.15;2275.74;2230.01;2239.75
2021-11-25;2244.79;2247.36;2218.45;2229.44
2021-11-26;2193.9;2193.9;2138.75;2143.13
2021-11-29;2148.59;2168.81;2120.23;2148.62
2021-11-30;2133.69;2199.73;2118.81;2194.37
2021-12-01;2205.85;2229.12;2193.19;2217.18
2021-12-02;2208.07;2208.07;2179.15;2201.86
2021-12-03;2209.95;2223.51;2176.74;2179.71
2021-12-06;2184.6;2199.87;2175.93;2190.67
2021-12-07;2201.86;2237.32;2201.86;2231.12
2021-12-08;2234.64;2244.71;2214.4;2219.62
2021-12-09;2214.59;2237.73;2184.35;2212.81
2021-12-10;2212.19;2226.15;2203.22;2213.78
2021-12-13;2216.22;2244.59;2205.11;2214.38
2021-12-14;2217.45;2226.58;2197.46;2211.81
2021-12-15;2211.49;2211.49;2153.69;2161.04
2021-12-16;2177.87;2216.95;2177.87;2213.89
2021-12-17;2206.89;2208.54;2183.83;2194.56
2021-12-20;2168.37;2193.18;2144.3;2189.91
2021-12-21;2193.98;2206.73;2185.27;2185.47
2021-12-22;2190.04;2212.32;2186.67;2212.32
2021-12-23;2215.19;2228.64;2213.67;2225.8
2021-12-27;2226.82;2232.08;2210.9;2226.24
2021-12-28;2222.54;2252.43;2219.1;2252.43
2021-12-29;2245.28;2263.76;2242.8;2260.7
2021-12-30;2263.39;2266.92;2247.73;2266.92
2022-01-03;2272.18;2302.11;2272.18;2286.5
2022-01-04;2293.18;2301.76;2281.04;2300.68
2022-01-05;2296.7;2310.97;2283.63;2310.97
2022-01-07;2309.61;2314.16;2278.63;2311.93
2022-01-10;2311.34;2328.41;2289.59;2291.23
2022-01-11;2300.38;2345.44;2296.03;2344.45
2022-01-12;2350.99;2411.11;2350.99;2411.11
2022-01-13;2406.83;2429.03;2397.64;2407.62
2022-01-14;2402.92;2413.59;2370.11;2383.16
2022-01-17;2378.9;2387.33;2359.3;2365.29
2022-01-18;2361.68;2361.68;2317.23;2317.36
2022-01-19;2304.66;2337.74;2291.46;2316.94
2022-01-20;2321.6;2331.17;2299.73;2308.94
2022-01-21;2298.12;2298.12;2257.71;2273.81
2022-01-24;2270.73;2282.96;2153.81;2170.36
2022-01-25;2170.85;2214.87;2170.45;2199.6
2022-01-26;2204.53;2245.72;2204.53;2233.18
2022-01-27;2218.18;2241.77;2197.75;2234.33
2022-01-28;2232.26;2232.26;2167.61;2183.7
2022-01-31;2198.34;2218.58;2191.24;2209.62
2022-02-01;2219.99;2238.58;2210.41;2224.28
2022-02-02;2229.44;2262.18;2221.3;2252.92
